timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
200782025,200781730,-0.45809218,0.011635029,-0.013024897,0.88873315,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200787021,200786730,-0.45809612,0.011639717,-0.013036457,0.8887309,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200792029,200791729,-0.4580877,0.011640064,-0.013042176,0.8887351,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200797027,200796731,-0.45808142,0.011637783,-0.013053024,0.8887382,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200802014,200801730,-0.4580842,0.011644823,-0.013049665,0.88873684,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200807064,200806730,-0.45808536,0.011648644,-0.013053581,0.888736,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200812064,200811731,-0.4580818,0.011647532,-0.013050262,0.88873804,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200817051,200816730,-0.4580776,0.011627685,-0.013034886,0.88874054,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200822048,200821729,-0.4580709,0.0116314795,-0.013024465,0.8887441,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200827026,200826729,-0.45806506,0.011629076,-0.013027047,0.88874716,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200832074,200831730,-0.45805463,0.011635966,-0.013031996,0.88875234,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200837030,200836732,-0.45805204,0.011634852,-0.013036173,0.88875365,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200842067,200841730,-0.45805693,0.011641403,-0.013038063,0.88875103,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200847026,200846730,-0.45807147,0.011654147,-0.013053539,0.88874316,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200852037,200851730,-0.4580961,0.011657892,-0.013040316,0.8887306,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200857034,200856731,-0.45811254,0.011654519,-0.013042524,0.8887221,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200862013,200861730,-0.45812353,0.011656369,-0.013036465,0.8887165,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200867022,200866730,-0.45812717,0.011652003,-0.013026345,0.88871485,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200872075,200871730,-0.45811942,0.011644868,-0.013020563,0.888719,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200877051,200876732,-0.45810673,0.011649677,-0.013041696,0.88872516,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200882017,200881730,-0.4580958,0.011648786,-0.013041136,0.8887308,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200887021,200886730,-0.45808938,0.011657212,-0.013039363,0.88873416,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200892034,200891729,-0.458087,0.01165435,-0.013039876,0.8887353,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200897044,200896729,-0.45808464,0.011656466,-0.013036924,0.8887366,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200902016,200901729,-0.45809275,0.011656934,-0.013027823,0.88873255,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200907075,200906730,-0.45809186,0.011652132,-0.0130175315,0.8887332,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200912038,200911729,-0.4580982,0.011654516,-0.013012703,0.88873,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200917021,200916729,-0.45810577,0.011655506,-0.0130177215,0.888726,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200922025,200921730,-0.4581115,0.011649516,-0.013025376,0.888723,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200927021,200926730,-0.45812523,0.01165752,-0.013040187,0.88871557,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200932067,200931731,-0.4581365,0.011653383,-0.013037932,0.88870984,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200937023,200936732,-0.4581481,0.011672056,-0.013044132,0.8887035,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200942028,200941729,-0.45815095,0.011669409,-0.013038405,0.88870215,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200947028,200946730,-0.45815533,0.011668575,-0.013028077,0.88870007,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200952070,200951729,-0.45814544,0.011671572,-0.013018866,0.88870525,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
