timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,wheel_rate_integ
344726827,0.17859891,0.06613031,-0.06077571,0.0
344746826,0.17971535,0.06537944,-0.06075945,0.0
344766825,0.18065159,0.06473659,-0.060698476,0.0
344786826,0.18167964,0.06413421,-0.060621638,0.0
344806825,0.18277693,0.06350208,-0.06058777,0.0
344826826,0.18382074,0.06305778,-0.060563162,0.0
344846827,0.18488991,0.06268229,-0.060555678,0.0
344866828,0.18606672,0.062250376,-0.06053883,0.0
344886825,0.18726575,0.061836697,-0.060502183,0.0
344906824,0.18836783,0.06141871,-0.060466614,0.0
344926825,0.18951346,0.060956355,-0.060439996,0.0
344946826,0.19072592,0.060485087,-0.060420558,0.0
344966832,0.19178714,0.06008196,-0.060403515,0.0
344986825,0.19292714,0.059688732,-0.06037979,0.0
345006826,0.1940437,0.059301928,-0.06034727,0.0
345026825,0.19517072,0.058986284,-0.06030864,0.0
345046825,0.19633992,0.05860401,-0.060283177,0.0
345066836,0.19752711,0.058218874,-0.06026392,0.0
345086826,0.19868223,0.05784159,-0.060247023,0.0
345106824,0.19978632,0.057397835,-0.060220208,0.0
345126826,0.20090662,0.056939885,-0.060180612,0.0
345146828,0.20204546,0.05643237,-0.06014443,0.0
345166824,0.20217939,0.056007884,-0.0601497,0.0
345186826,0.20217939,0.05572527,-0.06014652,0.0
345206824,0.20281325,0.055478346,-0.060190786,0.0
345226827,0.20402452,0.055501565,-0.06027735,0.0
345246826,0.20505638,0.05567405,-0.06029607,0.0
345266825,0.20630832,0.055512875,-0.060221363,0.0
345286825,0.2073639,0.055232257,-0.060124155,0.0
345306825,0.208253,0.05490589,-0.06008214,0.0
345326827,0.20938139,0.05426413,-0.06008236,0.0
345346824,0.21047513,0.053575113,-0.060080793,0.0
345366827,0.21132562,0.05303599,-0.060029916,0.0
345386825,0.21234807,0.05235855,-0.05995607,0.0
345406824,0.21350077,0.05182467,-0.059890077,0.0
345426825,0.21451277,0.05149568,-0.059873004,0.0
345446825,0.21561298,0.05116407,-0.059889242,0.0
345466823,0.21682812,0.050856274,-0.059878137,0.0
345486825,0.2178848,0.05057687,-0.059847336,0.0
345506827,0.2189839,0.050276674,-0.059848342,0.0
345526825,0.22023277,0.049956784,-0.059881814,0.0
345546827,0.2212592,0.04958752,-0.059950303,0.0
345566825,0.22232087,0.049199965,-0.060094737,0.0
345586825,0.22350028,0.04872774,-0.060292426,0.0
345606825,0.2245335,0.04825546,-0.060639605,0.0
345626824,0.22559035,0.04783882,-0.060933493,0.0
345646826,0.22671102,0.047393497,-0.060933493,0.0
345666827,0.22684422,0.047012065,-0.060937025,0.0
345686826,0.22684422,0.046783112,-0.06094856,0.0
345706825,0.22684422,0.046662413,-0.06094856,0.0
345726827,0.22684422,0.04683043,-0.061019763,0.0
345746824,0.22684422,0.047076795,-0.06104307,0.0
345766826,0.22684422,0.047261495,-0.061021242,0.0
345786826,0.22684422,0.047530685,-0.061007183,0.0
345806826,0.22737798,0.047981586,-0.061470974,0.0
345826826,0.2286713,0.04833976,-0.061470974,0.0
345846825,0.22947179,0.048282437,-0.061470974,0.0
345866829,0.23055285,0.04798378,-0.061470974,0.0
345886824,0.23160763,0.04746879,-0.061470974,0.0
345906830,0.23245968,0.046987172,-0.061470974,0.0
345926826,0.23352358,0.04647472,-0.061470974,0.0
345946825,0.23458683,0.045943886,-0.061470974,0.0
345966827,0.23538905,0.045565166,-0.061470974,0.0
345986825,0.23644085,0.04526811,-0.061470974,0.0
346006826,0.23744969,0.04470379,-0.061492383,0.0
346026826,0.23862791,0.044849988,-0.06255343,0.0
346046825,0.23994987,0.045078486,-0.06255343,0.0
346066827,0.24112132,0.045090217,-0.06255343,0.0
346086826,0.24227451,0.045121334,-0.06255343,0.0
346106824,0.24343663,0.044931572,-0.06357872,0.0
346126824,0.24456544,0.044832792,-0.06357872,0.0
346146828,0.24576618,0.044731263,-0.06357872,0.0
346166824,0.24704237,0.044613026,-0.06357872,0.0
346186825,0.24813735,0.044452894,-0.06357872,0.0
346206828,0.24891032,0.044407886,-0.06357872,0.0
346226827,0.24982141,0.0443358,-0.06357872,0.0
346246825,0.2500637,0.04439342,-0.06357872,0.0
346266825,0.25077274,0.044408154,-0.06357872,0.0
346286825,0.25138718,0.044343013,-0.06357872,0.0
346306825,0.25166178,0.04421678,-0.063575186,0.0
346326825,0.25166178,0.044257876,-0.063575186,0.0
346346825,0.2519897,0.044144932,-0.063575186,0.0
346366826,0.2519897,0.044165518,-0.063575186,0.0
346386825,0.2519897,0.044241365,-0.063575186,0.0
346406824,0.2519897,0.044088777,-0.063575186,0.0
346426826,0.2519897,0.044053633,-0.063575186,0.0
346446828,0.2519897,0.04409557,-0.063575186,0.0
346466825,0.2519897,0.043938033,-0.063575186,0.0
346486825,0.2519897,0.04396094,-0.063575186,0.0
346506826,0.2519897,0.044050645,-0.063575186,0.0
346526824,0.2519897,0.04400621,-0.063575186,0.0
346546825,0.2519897,0.0441854,-0.063575186,0.0
346566825,0.2519897,0.044391416,-0.063575186,0.0
346586833,0.2519897,0.044438444,-0.063575186,0.0
346606826,0.2519897,0.044687513,-0.063575186,0.0
346626824,0.2519897,0.044825163,-0.063575186,0.0
346646826,0.2519897,0.044743497,-0.063575186,0.0
346666826,0.2519897,0.044470232,-0.06355203,0.0
346686825,0.2519897,0.0440765,-0.063509636,0.0
346706825,0.2519897,0.043878246,-0.063509636,0.0
346726827,0.2519897,0.044320807,-0.063509636,0.0
346746827,0.25279665,0.04445125,-0.063509636,0.0
346766824,0.2529434,0.044417247,-0.063509636,0.0
346786825,0.2529434,0.04468364,-0.063509636,0.0
346926824,0.25475165,0.04395264,-0.06348876,0.0
346946830,0.25475165,0.044057183,-0.06348876,0.0
346966824,0.25475165,0.044487685,-0.06348876,0.0
346986825,0.25475165,0.044385884,-0.06348876,0.0
347006830,0.25475165,0.04418671,-0.06402632,0.0
347026825,0.25475165,0.04450436,-0.06402632,0.0
347046827,0.25475165,0.044264324,-0.06402632,0.0
347066823,0.25475165,0.044263154,-0.06402632,0.0
347086826,0.25475165,0.04462698,-0.06402632,0.0
347106824,0.25475165,0.043989763,-0.06400124,0.0
347126825,0.25475165,0.044141993,-0.06400124,0.0
347146825,0.25475165,0.04462249,-0.06400124,0.0
347166824,0.25475165,0.044399884,-0.06400124,0.0
347186826,0.25475165,0.04460169,-0.06400124,0.0
347206825,0.25475165,0.045049965,-0.06400124,0.0
347226827,0.25475165,0.044699278,-0.06400124,0.0
347406831,0.25475165,0.045500293,-0.06482277,0.0
347426824,0.25475165,0.046068672,-0.06482277,0.0
347446827,0.25475165,0.04659279,-0.06482277,0.0
347466826,0.25475165,0.04615786,-0.06482277,0.0
347486824,0.25475165,0.046724454,-0.06482277,0.0
347506827,0.25475165,0.046729356,-0.06470463,0.0
347526825,0.25475165,0.046325695,-0.06470463,0.0
347546828,0.25475165,0.04704952,-0.06470463,0.0
347566824,0.25475165,0.047489922,-0.06470463,0.0
347586827,0.25475165,0.04706037,-0.06470463,0.0
347606825,0.25475165,0.047410913,-0.06473054,0.0
347626825,0.25475165,0.047958065,-0.066043526,0.0
347646828,0.25475165,0.047691334,-0.066043526,0.0
347666824,0.25475165,0.048399523,-0.066043526,0.0
347686826,0.25475165,0.048702575,-0.066043526,0.0
347706824,0.25475165,0.048069496,-0.06603646,0.0
347726834,0.25475165,0.04886103,-0.06603646,0.0
347746826,0.25475165,0.049237814,-0.06603646,0.0
347766825,0.25475165,0.048867233,-0.06603646,0.0
347786826,0.25475165,0.049724232,-0.06603646,0.0
347806824,0.25475165,0.049855467,-0.065965,0.0
347826826,0.25475165,0.049559355,-0.065965,0.0
347846827,0.25475165,0.050505064,-0.065965,0.0
347866825,0.25475165,0.050852306,-0.065965,0.0
347886827,0.25475165,0.050567392,-0.065965,0.0
347906823,0.25475165,0.05129824,-0.06702379,0.0
347926831,0.25475165,0.05165326,-0.06702379,0.0
347946824,0.25475165,0.051420845,-0.06702379,0.0
347966825,0.25475165,0.052305695,-0.06702379,0.0
347986826,0.25475165,0.052557915,-0.06702379,0.0
348006825,0.25475165,0.052347846,-0.06702379,0.0
348026828,0.25475165,0.053287774,-0.06702379,0.0
348046829,0.25475165,0.053579513,-0.06702379,0.0
348066833,0.25475165,0.053437527,-0.06702379,0.0
348086826,0.25475165,0.054323025,-0.06702379,0.0
348106826,0.25475165,0.054531842,-0.06702379,0.0
348126824,0.25475165,0.054485135,-0.06702379,0.0
348146830,0.25475165,0.055447675,-0.06702379,0.0
348166826,0.25475165,0.05568301,-0.06702379,0.0
348186826,0.25475165,0.055719778,-0.06702379,0.0
348206824,0.25475165,0.05635081,-0.06726253,0.0
348226830,0.25475165,0.056480058,-0.06726253,0.0
348246825,0.25475165,0.056558535,-0.06726253,0.0
348266825,0.25475165,0.057391644,-0.06726253,0.0
348286824,0.25475165,0.05748595,-0.06726253,0.0
348306831,0.25475165,0.05763082,-0.06726253,0.0
348326826,0.25475165,0.05845536,-0.06726253,0.0
348346827,0.25475165,0.058549978,-0.06726253,0.0
348366826,0.25475165,0.058752213,-0.06726253,0.0
348386825,0.25475165,0.059541993,-0.06726253,0.0
348406826,0.25475165,0.059324946,-0.067248575,0.0
348426825,0.25475165,0.059548654,-0.067248575,0.0
348446830,0.25475165,0.060281705,-0.067248575,0.0
348466825,0.25475165,0.060272254,-0.067248575,0.0
348486824,0.25475165,0.0605414,-0.067248575,0.0
348506826,0.25475165,0.0613033,-0.067248575,0.0
348526825,0.25475165,0.061348587,-0.067248575,0.0
348546825,0.25475165,0.061702948,-0.067248575,0.0
348566825,0.25475165,0.06241727,-0.067248575,0.0
348586827,0.25475165,0.062424812,-0.067248575,0.0
348606825,0.25475165,0.06231874,-0.06727159,0.0
348626831,0.25475165,0.06303645,-0.06859112,0.0
348646826,0.25475165,0.063083366,-0.06859112,0.0
348666826,0.25475165,0.06344211,-0.06859112,0.0
348686825,0.25475165,0.06401866,-0.06859112,0.0
348706824,0.25475165,0.06402821,-0.06859112,0.0
348726827,0.25475165,0.064448684,-0.06859112,0.0
348746825,0.25475165,0.065055825,-0.06859112,0.0
348766824,0.25475165,0.0650635,-0.06859112,0.0
348786829,0.25475165,0.06547536,-0.06859112,0.0
348806832,0.25475165,0.06576017,-0.069032006,0.0
348826826,0.25475165,0.06577949,-0.069032006,0.0
348846824,0.25475165,0.0662309,-0.069032006,0.0
348866827,0.25475165,0.066583075,-0.069032006,0.0
348886826,0.25475165,0.066440225,-0.069032006,0.0
348906825,0.25475165,0.0666254,-0.06992551,0.0
348926826,0.25475165,0.06691167,-0.06992551,0.0
348946826,0.25475165,0.06675078,-0.06992551,0.0
348966826,0.25475165,0.067020416,-0.06992551,0.0
348986824,0.25475165,0.06717536,-0.06992551,0.0
349006825,0.25475165,0.06697105,-0.06992551,0.0
349026825,0.25475165,0.06723601,-0.06992551,0.0
349046825,0.25475165,0.06729442,-0.06992551,0.0
349066825,0.25475165,0.066981606,-0.06992551,0.0
349086825,0.25475165,0.06714099,-0.06992551,0.0
349106827,0.25475165,0.06707215,-0.06992551,0.0
349126824,0.25475165,0.066712275,-0.06992551,0.0
349146826,0.25475165,0.06692261,-0.07010418,0.0
349166827,0.25475165,0.06686664,-0.07014292,0.0
349186824,0.25475165,0.06654923,-0.07022534,0.0
349206825,0.25475165,0.06677465,-0.07042814,0.0
349226826,0.25475165,0.066624075,-0.07045428,0.0
349246826,0.25475165,0.066280685,-0.07048008,0.0
349266826,0.25475165,0.06644819,-0.07045729,0.0
349286824,0.25475165,0.06624034,-0.07044796,0.0
349306827,0.25475165,0.06597096,-0.07045154,0.0
349326825,0.25475165,0.066133544,-0.07047041,0.0
349346825,0.25475165,0.0658529,-0.070484005,0.0
