timestamp,timestamp_sample,gyro_device_id,gyro_bias[0],gyro_bias[1],gyro_bias[2],gyro_bias_limit,gyro_bias_variance[0],gyro_bias_variance[1],gyro_bias_variance[2],accel_device_id,accel_bias[0],accel_bias[1],accel_bias[2],accel_bias_limit,accel_bias_variance[0],accel_bias_variance[1],accel_bias_variance[2],mag_device_id,mag_bias[0],mag_bias[1],mag_bias[2],mag_bias_limit,mag_bias_variance[0],mag_bias_variance[1],mag_bias_variance[2],gyro_bias_valid,gyro_bias_stable,accel_bias_valid,accel_bias_stable,mag_bias_valid,mag_bias_stable
221436189,221245671,3407882,-0.0032323308,-0.0012949512,-0.00066993997,0.15,1.9345315e-07,1.9298649e-07,5.316255e-07,3407882,-0.022170238,-0.014554491,0.024779238,0.4,0.001824262,0.0018897355,1.46134325e-05,466953,-0.007278569,0.00065895566,-0.018710338,0.5,0.00050734234,0.00079549156,0.00064682734,1,1,1,0,1,0
221736184,221545671,3407882,-0.0032383625,-0.001308731,-0.00066615804,0.15,1.9344525e-07,1.9284944e-07,5.3348754e-07,3407882,-0.023631578,-0.014643979,0.024661962,0.4,0.00181979,0.0018892545,1.461704e-05,466953,-0.007150446,0.0006054584,-0.018766345,0.5,0.0005037584,0.0007925514,0.0006429954,1,1,1,0,1,0
221936187,221745671,3407882,-0.003242244,-0.001293757,-0.0006611184,0.15,1.934651e-07,1.9273614e-07,5.346284e-07,3407882,-0.024793042,-0.014963524,0.024561122,0.4,0.0018168604,0.0018889604,1.4619786e-05,466953,-0.00710559,0.0007342255,-0.018787742,0.5,0.0005013604,0.0007897676,0.0006409333,1,1,1,0,1,0
222146189,221955671,3407882,-0.0032429118,-0.0012772194,-0.0006575899,0.15,1.9361804e-07,1.9271515e-07,5.3586353e-07,3407882,-0.025924152,-0.015289574,0.02446382,0.4,0.0018140035,0.0018887034,1.4623546e-05,466953,-0.0071139154,0.0008707395,-0.0188089,0.5,0.0004994536,0.00078659144,0.0006399065,1,1,1,0,1,0
222336171,222145671,3407882,-0.00324549,-0.0012662128,-0.00065263297,0.15,1.9361201e-07,1.9251699e-07,5.369839e-07,3407882,-0.027216349,-0.015553783,0.024353977,0.4,0.0018113276,0.0018884917,1.4625656e-05,466953,-0.007169546,0.0010193563,-0.018816005,0.5,0.000497631,0.0007825347,0.0006396754,1,1,1,0,1,0
222636173,222445671,3407882,-0.003267073,-0.0012654505,-0.00064113014,0.15,1.9377904e-07,1.924163e-07,5.390774e-07,3407882,-0.028429274,-0.015667254,0.024238724,0.4,0.001807633,0.0018882799,1.4630216e-05,466953,-0.0071947724,0.0010798064,-0.01882218,0.5,0.0004954814,0.0007770983,0.00063904305,1,1,1,0,1,0
222836167,222645670,3407882,-0.0032709378,-0.0012710155,-0.00063972786,0.15,1.9384841e-07,1.9234503e-07,5.4058097e-07,3407882,-0.029429354,-0.015772874,0.024155136,0.4,0.0018053822,0.0018881627,1.4633329e-05,466953,-0.0071967416,0.0010353437,-0.018841898,0.5,0.0004946894,0.0007748799,0.00063877937,1,1,1,0,1,0
223146205,222955671,3407882,-0.003288714,-0.0012679974,-0.0006333968,0.15,1.9399609e-07,1.923289e-07,5.430662e-07,3407882,-0.030799577,-0.015976507,0.024024267,0.4,0.0018022476,0.0018879451,1.4638003e-05,466953,-0.007231823,0.0010278441,-0.018859932,0.5,0.0004941792,0.00077397283,0.0006384287,1,1,1,0,1,0
223436203,223245671,3407882,-0.003282682,-0.0012799762,-0.00063462794,0.15,1.9390455e-07,1.9212439e-07,5.4541624e-07,3407882,-0.032106902,-0.016159726,0.023907552,0.4,0.0017994362,0.0018876434,1.46403545e-05,466953,-0.007178755,0.000979286,-0.018867452,0.5,0.0004936724,0.0007734264,0.0006376659,1,1,1,0,1,1
223636188,223445673,3407882,-0.0032856774,-0.001263307,-0.00063281687,0.15,1.9387201e-07,1.9203767e-07,5.470333e-07,3407882,-0.033047527,-0.016512139,0.023804836,0.4,0.0017976692,0.001887386,1.4641783e-05,466953,-0.0072111306,0.0010744415,-0.018891234,0.5,0.00049320573,0.00077304145,0.0006370734,1,1,1,0,1,1
