timestamp,timestamp_sample,device_id,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],calibration_count
219394185,219347529,466953,-0.045304835,0.10959559,0.48075944,3
219433190,219419028,466953,-0.040182546,0.1124182,0.48242745,3
219537209,219490531,466953,-0.037965022,0.114747204,0.48111138,3
219576184,219562028,466953,-0.033529185,0.11484625,0.48129368,3
219680187,219633529,466953,-0.031234514,0.11423433,0.48037744,3
219719180,219705029,466953,-0.032039646,0.113897465,0.48001036,3
219823202,219776531,466953,-0.03254646,0.11371834,0.4813545,3
219862193,219848029,466953,-0.033110328,0.113330744,0.48213762,3
219966202,219919528,466953,-0.027325276,0.110078014,0.48304358,3
220005176,219991029,466953,-0.022995323,0.104608685,0.48280165,3
220109181,220062531,466953,-0.023430392,0.10361179,0.48225984,3
220148195,220134028,466953,-0.02630214,0.10610588,0.481341,3
220252190,220205532,466953,-0.029671574,0.108011395,0.480444,3
220291207,220277028,466953,-0.03486354,0.11132257,0.47998905,3
220395192,220348531,466953,-0.04180633,0.11399865,0.47896153,3
220434203,220420029,466953,-0.048681676,0.11415078,0.47951525,3
220681184,220634528,466953,-0.073294304,0.1087936,0.4779727,3
220720187,220706029,466953,-0.07840818,0.108045936,0.47770938,3
221006176,220992028,466953,-0.09355002,0.10566806,0.47582182,3
221110175,221063531,466953,-0.0918544,0.10381463,0.4753198,3
221149185,221135029,466953,-0.09031816,0.107654765,0.47537506,3
221253179,221206528,466953,-0.084913924,0.105402365,0.47566584,3
221292188,221278029,466953,-0.08409245,0.106758595,0.47462782,3
221396189,221349678,466953,-0.08658492,0.10912223,0.47392327,3
221435187,221421029,466953,-0.08740928,0.11020281,0.4739232,3
221539191,221492530,466953,-0.084927484,0.107300594,0.47536588,3
221578180,221564028,466953,-0.082458936,0.10564517,0.47542763,3
221682182,221635531,466953,-0.0802104,0.10745536,0.4754943,3
221721183,221707027,466953,-0.0789138,0.108972035,0.4767425,3
221825639,221778579,466953,-0.07468458,0.10643892,0.4773469,3
221864199,221850035,466953,-0.07060303,0.106601536,0.47632432,3
221968191,221921529,466953,-0.06676565,0.10822831,0.4774338,3
222007185,221993029,466953,-0.06239794,0.11324697,0.47553378,3
222111185,222064529,466953,-0.05719585,0.11824253,0.4767254,3
222150190,222136035,466953,-0.050611734,0.11838038,0.47720194,3
222254205,222207529,466953,-0.042422727,0.1133368,0.48030052,3
222293194,222279027,466953,-0.037172772,0.107078575,0.48207098,3
222397186,222350531,466953,-0.036482714,0.10355772,0.4825722,3
222436185,222422027,466953,-0.036544584,0.10096979,0.4825825,3
222579179,222565028,466953,-0.04657297,0.1033659,0.48191065,3
222683192,222636531,466953,-0.051533457,0.10523726,0.48051536,3
222722181,222708030,466953,-0.056030795,0.107502446,0.48009214,3
222826184,222779528,466953,-0.060093097,0.11009208,0.47899452,3
222865187,222851030,466953,-0.06290171,0.10947406,0.4789599,3
222969202,222922531,466953,-0.064585075,0.10729061,0.48018387,3
223008178,222994029,466953,-0.06424627,0.10244952,0.48090625,3
223112183,223065529,466953,-0.06587509,0.102696195,0.47983006,3
223151190,223137028,466953,-0.06884139,0.107024,0.4779291,3
223255176,223208531,466953,-0.071327165,0.11052075,0.47800696,3
223294185,223280029,466953,-0.07132955,0.11482923,0.47738993,3
223398184,223351528,466953,-0.06900267,0.11662423,0.47727287,3
223437184,223423035,466953,-0.06871117,0.120294385,0.47572744,3
223541186,223494528,466953,-0.0679283,0.12410795,0.47471297,3
223580186,223566029,466953,-0.06863653,0.12797536,0.47294492,3
223684203,223637531,466953,-0.07035072,0.13289542,0.4707917,3
223723202,223709028,466953,-0.07434711,0.13676383,0.46843767,3
223827176,223780529,466953,-0.07917085,0.14056934,0.46783707,3
223866184,223852027,466953,-0.07919972,0.14084984,0.46815312,3
223970186,223923531,466953,-0.07650406,0.13729964,0.4698864,3
224009204,223995029,466953,-0.07448423,0.13185626,0.47144568,3
224113192,224066528,466953,-0.075822115,0.12967889,0.47159263,3
224152186,224138029,466953,-0.07809179,0.12598751,0.47315305,3
224257417,224209683,466953,-0.07536995,0.12412859,0.47429645,3
224295191,224281029,466953,-0.06905472,0.12439581,0.47545856,3
224399186,224352529,466953,-0.067136824,0.124764495,0.47500023,3
224438174,224424028,466953,-0.0689991,0.12280242,0.4754786,3
224542185,224495531,466953,-0.071950614,0.11939026,0.47604156,3
224581183,224567027,466953,-0.075757794,0.11582421,0.47662514,3
224685187,224638529,466953,-0.076164566,0.11062365,0.4778099,3
224724205,224710033,466953,-0.07641399,0.10679695,0.47825205,3
224828191,224781543,466953,-0.07540524,0.10647119,0.47916448,3
224867175,224853029,466953,-0.0738037,0.108131394,0.47928497,3
224971187,224924528,466953,-0.07129712,0.11111728,0.4780484,3
225010177,224996037,466953,-0.07031851,0.112266324,0.4779888,3
225114204,225067529,466953,-0.069749415,0.11457873,0.47747448,3
225153179,225139028,466953,-0.06709522,0.11557244,0.47756898,3
