timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
244216729,32767,32767,32767,32767,32767,32767
244221729,32767,32767,32767,-35,32767,32767
244226729,32767,32767,32767,32767,32767,32767
244231728,32767,32767,32767,32767,32767,32767
244236729,32767,32767,32767,32767,32767,32767
244241729,32767,32767,32767,32767,32767,32767
244246729,32767,32767,32767,32767,32767,32767
244251729,32767,32767,32767,32767,32767,32767
244256729,32767,32767,32767,32767,32767,32767
244261729,32767,32767,32767,-2,32767,32767
244266729,32767,32767,32767,32767,32767,32767
244271729,32767,32767,32767,32767,32767,32767
244276729,32767,32767,32767,32767,-6,32767
244281729,32767,32767,32767,32767,32767,32767
244286729,32767,32767,32767,32767,32767,32767
244291728,32767,32767,32767,32767,32767,32767
244296729,32767,32767,32767,32767,32767,32767
244301729,32767,32767,32767,32767,32767,32767
244306729,32767,32767,32767,32767,32767,32767
244311729,32767,32767,32767,32767,32767,32767
244316729,32767,32767,32767,32767,-16,32767
244321729,32767,32767,32767,32767,32767,32767
244326729,32767,32767,32767,32767,32767,32767
244331728,32767,32767,32767,32767,32767,32767
244336729,32767,32767,32767,32767,32767,32767
244341729,32767,32767,32767,32767,32767,32767
244346729,32767,32767,32767,32767,32767,32767
244351729,32767,32767,32767,-36,32767,32767
244356729,32767,32767,32767,32767,32767,32767
244361729,32767,32767,32767,32767,32767,32767
244366729,32767,32767,32767,32767,32767,32767
244371729,32767,32767,32767,32767,32767,32767
244376729,32767,32767,32767,32767,32767,32767
244381729,32767,32767,32767,32767,32767,32767
244386730,32767,32767,32767,32767,32767,32767
244391729,32767,32767,32767,-3,32767,32767
244396729,32767,32767,32767,32767,32767,32767
244401729,32767,32767,32767,32767,32767,32767
244406729,32767,32767,32767,32767,32767,32767
244411729,32767,32767,32767,32767,32767,32767
244416728,32767,32767,32767,32767,32767,32767
244421729,32767,32767,32767,32767,-26,32767
