timestamp,position[0],position[1],position[2],velocity[0],velocity[1],velocity[2],acceleration[0],acceleration[1],acceleration[2],jerk[0],jerk[1],jerk[2],yaw,yawspeed
276162606,-5.5876637,-12.813301,-18.703735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.339845,0.0
276362607,-5.5876637,-12.813301,-18.703735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.539845,0.0
276562560,-5.5876637,-12.813301,-18.703735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7398453,0.0
276762545,-5.5876637,-12.813301,-18.703735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.939845,0.0
276962865,-5.5876637,-12.813301,-18.703735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1398454,0.0
277162493,-5.5876637,-12.813301,-18.703735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1398454,0.0
277362484,-5.5876637,-12.813301,-18.703735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1398454,0.0
277562446,-5.5876637,-12.813301,-18.703735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1398454,0.0
277762431,-5.5876637,-12.813301,-18.703735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1398454,0.0
277962337,-5.5876637,-12.813301,-18.703735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1398454,0.0
278162290,-5.5876637,-12.813301,-18.703735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1398454,0.0
278362298,-5.5876637,-12.813301,-18.703735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1398454,0.0
278562241,-5.5876637,-12.813301,-18.703735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1398454,0.0
278762215,-5.5876637,-12.813301,-18.703735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1398454,0.0
278962185,-5.5876637,-12.813301,-18.703735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1398454,0.0
279162119,-5.5876637,-12.813301,-18.703735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1398454,0.0
279362166,-5.5876637,-12.813301,-18.703735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1398454,0.0
279562095,-5.5876637,-12.813301,-18.703735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1398454,0.0
279762045,-5.5876637,-12.813301,-18.703735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1398454,0.0
280161980,-5.632427,-12.903974,-18.684927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.38392255,0.0
280361965,-5.632427,-12.903974,-18.684927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18392254,0.0
280561922,-5.632427,-12.903974,-18.684927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18392254,0.0
280761895,-5.632427,-12.903974,-18.684927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18392254,0.0
280962008,-5.632427,-12.903974,-18.684927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18392254,0.0
