timestamp,x,y,z,vx,vy,vz,acceleration[0],acceleration[1],acceleration[2],thrust[0],thrust[1],thrust[2],yaw,yawspeed
285762316,-4.292372,-13.396454,-18.665821,0.51768845,-0.54862803,0.013834,-0.56833154,-0.8553707,-0.41863883,-0.042299494,-0.063663095,-0.7298825,-1.9528745,0.0
285862308,-4.238796,-13.423464,-18.66558,0.51218003,-0.54788333,0.018526077,-0.6534135,-0.8638163,-0.4270187,-0.04867163,-0.064344175,-0.7304806,-1.9528745,0.0
285962504,-4.1852202,-13.450474,-18.665342,0.50459284,-0.5434494,0.021762848,-0.70017785,-0.90855515,-0.4634627,-0.05234038,-0.0679172,-0.73307455,-1.9528745,0.0
286062296,-4.131644,-13.477484,-18.665104,0.49464414,-0.53494483,0.023769379,-0.7565574,-0.58584094,-0.47663945,-0.05662786,-0.043849837,-0.73402095,-1.9528745,0.0
286162331,-4.078068,-13.504495,-18.664864,0.48244134,-0.5222465,0.02261734,-0.8242975,-0.55151796,-0.6002641,-0.062438276,-0.04177597,-0.7428301,-1.9528745,0.0
286262280,-4.024492,-13.531505,-18.664625,0.46820506,-0.5050544,0.017377853,-0.9430749,-0.6148324,-0.7035941,-0.07214662,-0.04703558,-0.7502226,-1.9528745,0.0
286362250,-3.9709158,-13.558515,-18.664387,0.45245215,-0.4846026,0.010606766,-0.92679816,-0.4090355,-0.7506274,-0.071218506,-0.031431757,-0.75357985,-1.9528745,0.0
286462437,-3.9173396,-13.585525,-18.664146,0.43617082,-0.46079135,0.004573822,-1.0176785,-0.3447077,-0.7456195,-0.07816495,-0.026476003,-0.75321937,-1.9528745,0.0
286562249,-3.8637636,-13.6125345,-18.663908,0.41981044,-0.434668,-0.001619339,-0.9830988,-0.13190573,-0.8056364,-0.075936854,-0.010188708,-0.7574918,-1.9528745,0.0
286662246,-3.8637636,-13.6125345,-18.663908,0.35307246,-0.38071266,-0.0074386597,-1.0680183,-0.19658539,-0.80603105,-0.08250103,-0.015185598,-0.75753456,-1.9528745,0.0
286762243,-3.8101873,-13.6395445,-18.66367,0.33860764,-0.35255355,-0.011810303,-1.1776423,-0.14354765,-0.6728233,-0.089824714,-0.010949103,-0.74800396,-1.9528745,0.0
286862274,-3.7566113,-13.666554,-18.66343,0.32546398,-0.32499695,-0.014226913,-0.97997904,-0.1344972,-0.6760363,-0.07477327,-0.010262255,-0.74825555,-1.9528745,0.0
286962435,-3.7030354,-13.693565,-18.66319,0.31349948,-0.29800296,-0.016471863,-1.2674822,-0.100967824,-0.72174656,-0.097131945,-0.0077375458,-0.75151837,-1.9528745,0.0
287062285,-3.6494591,-13.720575,-18.662952,0.302573,-0.27217045,-0.019618988,-1.0636687,-0.002579745,-0.6749339,-0.08114829,-0.00019681115,-0.74815696,-1.9528745,0.0
287162271,-3.5958831,-13.747585,-18.662712,0.29395953,-0.24720678,-0.023254395,-1.0875689,0.1884549,-0.7667253,-0.083695605,0.014502849,-0.754682,-1.9528745,0.0
287262253,-3.542307,-13.774595,-18.662474,0.2874844,-0.22346349,-0.02778244,-1.0535247,-0.08799,-0.7969864,-0.081306666,-0.0067907027,-0.7568393,-1.9528745,0.0
287362293,-3.488731,-13.801605,-18.662235,0.28258413,-0.20290203,-0.030878067,-1.0649623,0.015875839,-0.8035325,-0.082245976,0.0012260752,-0.7573562,-1.9528745,0.0
287462550,-3.4351547,-13.828615,-18.661995,0.2794845,-0.1865489,-0.033166885,-1.0026515,0.030770155,-0.7641037,-0.077145666,0.0023675067,-0.7545418,-1.9528745,0.0
287562315,-3.3815787,-13.855625,-18.661757,0.278451,-0.17264828,-0.036190033,-1.0284024,-0.096299104,-0.7838417,-0.07927358,-0.0074231396,-0.7559398,-1.9528745,0.0
287662279,-3.3280027,-13.882635,-18.661516,0.27952597,-0.16072544,-0.040201187,-0.93015575,0.071905896,-0.82944983,-0.072005175,0.0055663763,-0.7591521,-1.9528745,0.0
287762276,-3.2744265,-13.909646,-18.661278,0.28217462,-0.14855255,-0.044000626,-1.0804667,-0.07353621,-0.8640218,-0.08391917,-0.0057115112,-0.761674,-1.9528745,0.0
287862282,-3.2208505,-13.936656,-18.66104,0.2862441,-0.13889651,-0.047531128,-0.90707165,0.1142164,-0.92554766,-0.07085756,0.008922223,-0.7660657,-1.9528745,0.0
287962487,-3.1672742,-13.963666,-18.660799,0.29220575,-0.13163137,-0.050603867,-0.96434677,-0.07020698,-0.95782983,-0.07555856,-0.005500862,-0.76837003,-1.9528745,0.0
288062294,-3.1136982,-13.990676,-18.66056,0.29978165,-0.12594447,-0.055408478,-0.8667785,-0.00645661,-1.0851753,-0.06871782,-0.00051187724,-0.7774599,-1.9528745,0.0
288262280,-3.006546,-14.044696,-18.660082,0.31941038,-0.12139911,-0.066194534,-0.778636,-0.18339235,-0.9877951,-0.061173268,-0.014408156,-0.7704618,-1.9528745,0.0
288362280,-2.95297,-14.071706,-18.659843,0.33236355,-0.121944524,-0.0662632,-0.7219682,-0.06610508,-0.89031273,-0.056212876,-0.005146981,-0.76355064,-1.9528745,0.0
288462490,-2.95297,-14.071706,-18.659843,0.2963502,-0.09863429,-0.06253052,-0.8183011,-0.13420305,-0.7901775,-0.06311713,-0.0103513375,-0.75640297,-1.9528745,0.0
288562250,-2.95297,-14.071706,-18.659843,0.2616007,-0.07733445,-0.056713104,-0.80173737,-0.012607854,-0.71160346,-0.061377678,-0.00096520485,-0.7507559,-1.9528745,0.0
288662253,-2.95297,-14.071706,-18.659843,0.22920361,-0.058305025,-0.047426224,-0.8030377,-0.08059087,-0.49800116,-0.060227316,-0.006044264,-0.7354942,-1.9528745,0.0
288762293,-2.95297,-14.071706,-18.659843,0.19942077,-0.04188938,-0.035255432,-0.74364984,-0.009474102,-0.41831836,-0.05534311,-0.0007050715,-0.72982216,-1.9528745,0.0
288862246,-2.95297,-14.071706,-18.659843,0.17256199,-0.026901579,-0.022232056,-0.7915231,-0.08218521,-0.3673073,-0.058614634,-0.0060860584,-0.7262184,-1.9528745,0.0
288962441,-2.95297,-14.071706,-18.659843,0.14852561,-0.013167667,-0.010246277,-0.7699586,-0.096016705,-0.43072256,-0.057373706,-0.0071547143,-0.730745,-1.9528745,0.0
289062265,-2.95297,-14.071706,-18.659843,0.12765974,-0.0011179923,-0.0015048981,-0.77684104,-0.08500642,-0.4528019,-0.05801093,-0.006347889,-0.7323196,-1.9528745,0.0
289162245,-2.95297,-14.071706,-18.659843,0.109296665,0.009010983,0.004907608,-0.79966307,-0.15120837,-0.4642551,-0.059781164,-0.0113040265,-0.7331224,-1.9528745,0.0
289262275,-2.95297,-14.071706,-18.659843,0.09280628,0.016809748,0.009202957,-0.7749723,-0.123823255,-0.4329835,-0.057759654,-0.009228701,-0.7309044,-1.9528745,0.0
289362289,-2.95297,-14.071706,-18.659843,0.07724906,0.021781826,0.01411438,-0.8422091,-0.13743345,-0.32851928,-0.062129576,-0.010138435,-0.7234358,-1.9528745,0.0
289462543,-2.95297,-14.071706,-18.659843,0.06253079,0.024093913,0.02170372,-0.8223492,-0.21581298,-0.28037736,-0.06037488,-0.015844462,-0.7199864,-1.9528745,0.0
289562280,-2.95297,-14.071706,-18.659843,0.048024524,0.024512481,0.028532028,-0.9481174,-0.27734143,-0.3118034,-0.06982846,-0.020426081,-0.72225654,-1.9528745,0.0
289662286,-2.95297,-14.071706,-18.659843,0.0335819,0.022473097,0.034898758,-1.0367079,-0.26651165,-0.28242788,-0.07613108,-0.019571396,-0.7201597,-1.9528745,0.0
289762300,nan,nan,nan,nan,nan,1.0,0.0,0.0,3.592092,-0.0,-0.0,-0.44355854,-1.9763672,0.0
289862287,nan,nan,nan,nan,nan,-0.012969006,0.0,-0.0,-1.7463193,-0.0,-0.0,-0.8246525,-1.9789056,0.0
289962540,nan,nan,nan,nan,nan,-0.11722997,0.0,-0.0,-2.6141052,-0.0,-0.0,-0.886563,-1.9799596,0.0
290062336,nan,nan,nan,nan,nan,-0.24570093,0.0,-0.0,-1.8226154,-0.0,-0.0,-0.8300582,-1.9800946,0.0
290162284,nan,nan,nan,nan,nan,-0.29675558,0.0,-0.0,-0.5519003,-0.0,-0.0,-0.73923814,-1.9963962,0.0
290262297,nan,nan,nan,nan,nan,-0.29424486,0.0,-0.0,-0.33331412,-0.0,-0.0,-0.72369635,-1.9963962,0.0
290362254,nan,nan,nan,nan,nan,-0.29752576,0.0,-0.0,-0.36759496,-0.0,-0.0,-0.7261654,-1.9963962,0.0
290462443,nan,nan,nan,nan,nan,-0.2974509,0.0,-0.0,-0.352475,-0.0,-0.0,-0.7251252,-1.9963962,0.0
290562283,nan,nan,nan,nan,nan,-0.29752138,0.0,-0.0,-0.44069925,-0.0,-0.0,-0.7314572,-1.9963962,0.0
290662252,nan,nan,nan,nan,nan,-0.2942449,0.0,-0.0,-0.36035973,-0.0,-0.0,-0.7256896,-1.9963962,0.0
290762259,nan,nan,nan,nan,nan,-0.2942449,0.0,-0.0,-0.3413139,-0.0,-0.0,-0.7243385,-1.9963962,0.0
290862256,nan,nan,nan,nan,nan,-0.2960098,0.0,-0.0,-0.37208575,-0.0,-0.0,-0.72655743,-1.9963962,0.0
290962438,nan,nan,nan,nan,nan,-0.2974464,0.0,-0.0,-0.6894296,-0.0,-0.0,-0.74917805,-1.9963962,0.0
291062284,nan,nan,nan,nan,nan,-0.29749176,0.0,-0.0,-0.6058619,-0.0,-0.0,-0.74322855,-1.9963962,0.0
