timestamp,imbalanced_prop_metric,motor_failure_mask,fd_roll,fd_pitch,fd_alt,fd_ext,fd_arm_escs,fd_battery,fd_imbalanced_prop,fd_motor
330675206,0.37815824,0,0,0,0,0,0,0,0,0
330774640,0.34536564,0,0,0,0,0,0,0,0,0
330873240,0.34536564,0,0,0,0,0,0,0,0,0
330983297,0.3952218,0,0,0,0,0,0,0,0,0
331082609,0.3952218,0,0,0,0,0,0,0,0,0
331170096,0.43521625,0,0,0,0,0,0,0,0,0
331280103,0.42526653,0,0,0,0,0,0,0,0,0
331379132,0.43261737,0,0,0,0,0,0,0,0,0
331478360,0.43802893,0,0,0,0,0,0,0,0,0
331577282,0.42804378,0,0,0,0,0,0,0,0,0
331676357,0.4430143,0,0,0,0,0,0,0,0,0
331775177,0.4190863,0,0,0,0,0,0,0,0,0
331874284,0.38446575,0,0,0,0,0,0,0,0,0
331973460,0.3291623,0,0,0,0,0,0,0,0,0
332083295,0.2727341,0,0,0,0,0,0,0,0,0
332182692,0.25848648,0,0,0,0,0,0,0,0,0
332281076,0.2782403,0,0,0,0,0,0,0,0,0
332380097,0.23543394,0,0,0,0,0,0,0,0,0
332479120,0.22233175,0,0,0,0,0,0,0,0,0
332578254,0.22042549,0,0,0,0,0,0,0,0,0
332677621,0.2284367,0,0,0,0,0,0,0,0,0
332776697,0.23581143,0,0,0,0,0,0,0,0,0
332875205,0.22709431,0,0,0,0,0,0,0,0,0
332974561,0.22931977,0,0,0,0,0,0,0,0,0
333084633,0.20618384,0,0,0,0,0,0,0,0,0
333183344,0.20214377,0,0,0,0,0,0,0,0,0
333283450,0.18113528,0,0,0,0,0,0,0,0,0
333382587,0.17697157,0,0,0,0,0,0,0,0,0
333481082,0.21035317,0,0,0,0,0,0,0,0,0
333581063,0.21035317,0,0,0,0,0,0,0,0,0
333680094,0.2751725,0,0,0,0,0,0,0,0,0
333779143,0.29817542,0,0,0,0,0,0,0,0,0
333878376,0.3351867,0,0,0,0,0,0,0,0,0
333977242,0.36813995,0,0,0,0,0,0,0,0,0
334076403,0.35598543,0,0,0,0,0,0,0,0,0
334175194,0.32038546,0,0,0,0,0,0,0,0,0
334274537,0.3151341,0,0,0,0,0,0,0,0,0
334384467,0.33419797,0,0,0,0,0,0,0,0,0
334483308,0.28894788,0,0,0,0,0,0,0,0,0
334582651,0.18610431,0,0,0,0,0,0,0,0,0
334681074,0.1807155,0,0,0,0,0,0,0,0,0
334780095,0.14475828,0,0,0,0,0,0,0,0,0
334879120,0.09099666,0,0,0,0,0,0,0,0,0
334978323,0.11984754,0,0,0,0,0,0,0,0,0
335077316,0.09471339,0,0,0,0,0,0,0,0,0
335176333,0.09225027,0,0,0,0,0,0,0,0,0
335275206,0.14757296,0,0,0,0,0,0,0,0,0
335375173,0.1516211,0,0,0,0,0,0,0,0,0
335474217,0.14450385,0,0,0,0,0,0,0,0,0
335584481,0.2066775,0,0,0,0,0,0,0,0,0
335782851,0.25895783,0,0,0,0,0,0,0,0,0
335882593,0.22549471,0,0,0,0,0,0,0,0,0
335981060,0.2735655,0,0,0,0,0,0,0,0,0
336080148,0.27105483,0,0,0,0,0,0,0,0,0
336179122,0.3309538,0,0,0,0,0,0,0,0,0
336279119,0.40974593,0,0,0,0,0,0,0,0,0
336378338,0.494036,0,0,0,0,0,0,0,0,0
336477303,0.494036,0,0,0,0,0,0,0,0,0
336576364,0.58091515,0,0,0,0,0,0,0,0,0
336675215,0.5491454,0,0,0,0,0,0,0,0,0
336774242,0.59427273,0,0,0,0,0,0,0,0,0
336884469,0.6024529,0,0,0,0,0,0,0,0,0
336983310,0.67244786,0,0,0,0,0,0,0,0,0
337082731,0.7083109,0,0,0,0,0,0,0,0,0
337181062,0.749442,0,0,0,0,0,0,0,0,0
337280097,0.7543326,0,0,0,0,0,0,0,0,0
337379132,0.7773948,0,0,0,0,0,0,0,0,0
337478327,0.80314386,0,0,0,0,0,0,0,0,0
337577288,0.834463,0,0,0,0,0,0,0,0,0
337676427,0.88659036,0,0,0,0,0,0,0,0,0
337775172,0.82318187,0,0,0,0,0,0,0,0,0
337874216,0.81044626,0,0,0,0,0,0,0,0,0
337973198,0.83341527,0,0,0,0,0,0,0,0,0
338083295,0.83970684,0,0,0,0,0,0,0,0,0
338182631,0.86510366,0,0,0,0,0,0,0,0,0
338281052,0.827323,0,0,0,0,0,0,0,0,0
338380097,0.7381244,0,0,0,0,0,0,0,0,0
338479119,0.67008346,0,0,0,0,0,0,0,0,0
338578359,0.6321082,0,0,0,0,0,0,0,0,0
338677306,0.5488626,0,0,0,0,0,0,0,0,0
338776332,0.51703644,0,0,0,0,0,0,0,0,0
338875209,0.4434725,0,0,0,0,0,0,0,0,0
339084434,0.33229706,0,0,0,0,0,0,0,0,0
339282753,0.299012,0,0,0,0,0,0,0,0,0
339381062,0.21070482,0,0,0,0,0,0,0,0,0
