timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping,gyro_clipping,accel_calibration_count,gyro_calibration_count
201076731,-0.0024240948,-0.0017645428,0.0050464603,5002,0,-0.16567458,0.14567293,-9.991829,5002,0,0,1,1
201081729,0.00045468658,-0.0021536895,0.004156465,4998,0,-0.16345738,0.3227693,-9.751657,4998,0,0,1,1
201086729,-0.004661006,-0.00058398774,0.0006664273,5000,0,0.051658303,0.2680173,-9.811903,5000,0,0,1,1
201091729,-0.0075168754,-0.00050183444,-0.0032692747,5000,0,-0.38629663,0.23844063,-9.806089,5000,0,0,1,1
201096729,-0.005941008,-0.0020481197,-0.002339923,5000,0,0.50173104,0.52077156,-9.870926,5000,0,0,1,1
201101729,-0.00693097,-0.0047849347,0.0006229147,5000,0,-0.24752726,-0.019601695,-9.68705,5000,0,0,1,1
201106729,-0.0048546777,3.6328565e-06,0.000206491,5000,0,-0.09959597,0.4270897,-9.821052,5000,0,0,1,1
201111729,-0.0077222213,0.00086943584,0.0019158435,5000,0,-0.02987638,0.17607683,-9.86145,5000,0,0,1,1
201116729,0.0031977918,0.002907068,-0.00031757136,5000,0,-0.12780438,0.70166683,-9.74222,5000,0,0,1,1
201121729,-0.006123048,-0.0035742351,-0.00017736776,5000,0,-0.3785796,0.23842281,-9.970119,5000,0,0,1,1
201126729,0.0047883145,0.00094662444,-0.0023586175,5000,0,0.10913494,0.2821996,-9.697976,5000,0,0,1,1
201131729,-0.0076483637,-0.0018085073,-0.0028213265,5000,0,-0.06016817,0.28949332,-9.808519,5000,0,0,1,1
201136729,-0.009313948,-0.0017410384,0.00015635797,5000,0,-0.21029788,0.32204553,-9.921381,5000,0,0,1,1
201141729,-0.005134411,-0.00437799,0.0026786993,5000,0,0.08184384,0.2883712,-9.87708,5000,0,0,1,1
201146729,-0.006792498,-0.0017358705,0.0047086524,5000,0,-0.16404814,0.3115369,-9.620436,5000,0,0,1,1
201151729,-0.008811114,-0.0021367546,0.006449144,5000,0,0.016039569,0.23643892,-9.891495,5000,0,0,1,1
201156729,-0.005443115,0.0003949989,0.0052052243,5000,0,-0.34533328,0.45986125,-9.858425,5000,0,0,1,1
201161729,-0.0013727089,-0.0014188096,0.005338142,5000,0,0.17938888,0.46864706,-9.843337,5000,0,0,1,1
201166729,0.005001384,0.00069128413,-0.0030735587,5000,0,-0.19490394,0.2406888,-9.565826,5000,0,0,1,1
201171729,-0.0057641473,-0.0018954953,-4.843871e-05,5000,0,-0.09871262,0.1447565,-10.143652,5000,0,0,1,1
201176729,-0.006706397,-0.0037461927,-0.0045147114,5000,0,-0.12663108,0.5171627,-9.597633,5000,0,0,1,1
201181729,-0.00346433,-0.000771056,-0.0035403315,5000,0,0.14005235,0.2552364,-9.910605,5000,0,0,1,1
201186729,-0.007575236,-0.0055440543,-0.001794883,5000,0,-0.33460376,0.417607,-9.851263,5000,0,0,1,1
201191729,-0.00715891,-0.00028109748,-0.00013474109,5000,0,0.17748097,0.055404175,-9.7976885,5000,0,0,1,1
201196729,-0.012655698,-0.0016501555,0.0031632888,5000,0,-0.3841503,0.50171477,-9.72883,5000,0,0,1,1
201201729,-0.0010659546,0.0020929324,0.0022543785,5000,0,-0.001329504,0.45658728,-9.890013,5000,0,0,1,1
201206729,0.0019989526,0.0023140658,0.003162174,5000,0,-0.07760108,0.28764248,-9.919575,5000,0,0,1,1
201211730,0.0002579959,-0.0030713277,0.0020483625,5001,0,-0.15616204,0.14378901,-9.756359,5001,0,0,1,1
201216729,-0.006404883,-0.0018837462,0.00096333894,4999,0,-0.19004518,0.11558658,-9.854887,4999,0,0,1,1
201221728,-0.005153509,0.0019522844,0.0008203752,4999,0,0.28114015,0.6590346,-9.807731,4999,0,0,1,1
201226730,-0.006432005,-0.008547397,-0.0017066031,5002,0,-0.28622964,0.12530507,-9.819349,5002,0,0,1,1
201231729,-0.0069315117,0.0014594111,0.003188703,4999,0,-0.009627111,0.23134114,-9.731923,4999,0,0,1,1
201236730,-0.008678051,-0.0029805575,0.0050982125,5001,0,-0.10538475,0.2578904,-9.900818,5001,0,0,1,1
201241729,-0.0046209972,0.001541007,0.003505527,4999,0,-0.037622012,0.66396856,-9.746323,4999,0,0,1,1
201246729,-0.0018992526,0.0031702563,-0.00026373606,5000,0,-0.094749495,0.2913847,-9.773555,5000,0,0,1,1
201251730,0.002204088,0.00036346086,0.00024409496,5001,0,-0.030019388,0.34684187,-9.749246,5001,0,0,1,1
201256729,-0.002461644,-0.0006265605,-0.006325171,4999,0,0.062255125,0.36747825,-9.786998,4999,0,0,1,1
201261730,-0.008453472,-0.00023621815,-0.003196506,5001,0,-0.23911017,0.17430715,-9.947003,5001,0,0,1,1
201266729,-0.0033142213,-0.0051507703,0.0014794272,4999,0,0.22479668,0.20989428,-9.660601,4999,0,0,1,1
201271729,-0.0069371983,-0.002285826,-0.0018564202,5000,0,-0.20570353,0.3799026,-9.996464,5000,0,0,1,1
201276729,-0.007831316,-0.0040257373,0.005192382,5000,0,-0.06658615,0.11680584,-9.669776,5000,0,0,1,1
201281729,-0.008955453,0.002480371,0.0029222288,5000,0,-0.26416504,0.48749208,-9.794751,5000,0,0,1,1
201286729,-0.005674125,0.0015843932,0.004497414,5000,0,-0.057532378,0.47435206,-9.804379,5000,0,0,1,1
