timestamp,accel_device_id_primary,accel_device_ids[0],accel_device_ids[1],accel_device_ids[2],accel_device_ids[3],accel_inconsistency_m_s_s[0],accel_inconsistency_m_s_s[1],accel_inconsistency_m_s_s[2],accel_inconsistency_m_s_s[3],gyro_device_id_primary,gyro_device_ids[0],gyro_device_ids[1],gyro_device_ids[2],gyro_device_ids[3],gyro_inconsistency_rad_s[0],gyro_inconsistency_rad_s[1],gyro_inconsistency_rad_s[2],gyro_inconsistency_rad_s[3],accel_healthy[0],accel_healthy[1],accel_healthy[2],accel_healthy[3],accel_priority[0],accel_priority[1],accel_priority[2],accel_priority[3],gyro_healthy[0],gyro_healthy[1],gyro_healthy[2],gyro_healthy[3],gyro_priority[0],gyro_priority[1],gyro_priority[2],gyro_priority[3]
330066961,3407898,3407898,3407890,3407882,0,0.13213652,0.1295356,0.07472487,0.0,3407898,3407898,3407890,3407882,0,0.0026978722,0.0029409402,0.0029554854,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
330266960,3407898,3407898,3407890,3407882,0,0.047503043,0.15632524,0.12898889,0.0,3407898,3407898,3407890,3407882,0,0.0032998626,0.0040220036,0.0022405696,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
330466962,3407898,3407898,3407890,3407882,0,0.079894125,0.051573798,0.07962988,0.0,3407898,3407898,3407890,3407882,0,0.0026268882,0.004516705,0.0022504309,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
330667012,3407898,3407898,3407890,3407882,0,0.12560001,0.1512145,0.067035146,0.0,3407898,3407898,3407890,3407882,0,0.009051864,0.010682877,0.002095271,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
330866960,3407898,3407898,3407890,3407882,0,0.121185,0.12153367,0.07106789,0.0,3407898,3407898,3407890,3407882,0,0.0021263978,0.0013752896,0.0010248604,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
331066941,3407898,3407898,3407890,3407882,0,0.057745054,0.064061105,0.070394285,0.0,3407898,3407898,3407890,3407882,0,0.0036395933,0.004047325,0.0012202846,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
331266962,3407898,3407898,3407890,3407882,0,0.11314736,0.13745186,0.17818293,0.0,3407898,3407898,3407890,3407882,0,0.00211792,0.0013026447,0.0021064691,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
331466960,3407898,3407898,3407890,3407882,0,0.08005976,0.089118235,0.11213158,0.0,3407898,3407898,3407890,3407882,0,0.0023911418,0.0028450289,0.0014643779,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
331666940,3407898,3407898,3407890,3407882,0,0.09631527,0.09922179,0.13219652,0.0,3407898,3407898,3407890,3407882,0,0.0021176727,0.003013357,0.0013902246,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
331866940,3407898,3407898,3407890,3407882,0,0.08677455,0.110624544,0.13733381,0.0,3407898,3407898,3407890,3407882,0,0.004530763,0.006692796,0.003747985,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
