timestamp,timestamp_last_signal,rssi,rssi_dbm,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],channel_count,rc_failsafe,rc_lost,input_source,link_quality
237054957,237054937,-1,-50.0,0,0,0,1500,1500,1658,1500,1988,1000,1000,1000,1000,1000,1499,1500,1500,1000,1990,2000,0,0,16,0,0,14,99
237554957,237554937,-1,-50.0,0,0,0,1500,1500,1657,1499,1988,1000,1000,1000,1000,1000,1499,1500,1500,1000,1980,2000,0,0,16,0,0,14,98
238054963,238054943,-1,-49.0,0,0,0,1500,1500,1658,1499,1988,1000,1000,1000,1000,1000,1499,1500,1500,1000,1959,2000,0,0,16,0,0,14,96
238550667,238514936,-1,-50.0,0,0,0,1500,1500,1657,1500,1988,1000,1000,1000,1000,1000,1499,1500,1500,1000,1940,2000,0,0,16,0,0,14,93
239054973,239054940,-1,-51.0,0,0,0,1500,1500,1658,1499,1988,1000,1000,1000,1000,1000,1499,1500,1500,1000,1860,1984,0,0,16,0,0,14,86
239560734,239534936,-1,-44.0,0,0,0,1500,1500,1658,1499,1988,1000,1000,1000,1999,1000,1499,1500,1500,1000,1829,2000,0,0,16,0,0,14,82
240065660,240054937,-1,-36.0,0,0,0,1500,1500,1656,1499,1988,1000,1000,1000,1999,1000,1499,1500,1500,1000,1839,2000,0,0,16,0,0,14,84
240554956,240554937,-1,-37.0,0,0,0,1499,1500,1656,1500,1988,1000,1000,1000,1999,1000,1499,1500,1500,1000,1829,2000,0,0,16,0,0,14,83
241054741,241054720,-1,-46.0,0,0,0,1500,1500,1657,1499,1988,1000,1000,1000,1999,1000,1499,1500,1500,1000,1870,2000,0,0,16,0,0,14,87
241554885,241554864,-1,-43.0,0,0,0,1500,1500,1656,1499,1988,1000,1000,1000,1999,1000,1499,1500,1500,1000,1910,2000,0,0,16,0,0,14,92
242054753,242054721,-1,-42.0,0,0,0,1500,1500,1657,1500,1988,1000,1000,1000,1999,1000,1499,1500,1500,1000,1900,2000,0,0,16,0,0,14,91
242554956,242554936,-1,-43.0,0,0,0,1500,1500,1656,1499,1988,1000,1000,1000,1999,1000,1499,1500,1500,1000,1920,2000,0,0,16,0,0,14,91
243054674,243054654,-1,-42.0,0,0,0,1500,1500,1657,1500,1988,1000,1000,1000,1999,1000,1499,1500,1500,1000,1929,2000,0,0,16,0,0,14,93
243554718,243554696,-1,-47.0,0,0,0,1500,1500,1656,1499,1988,1000,1000,1000,1999,1000,1499,1500,1500,1000,1929,2000,0,0,16,0,0,14,92
244054712,244054691,-1,-43.0,0,0,0,1500,1500,1657,1500,1988,1000,1000,1000,1999,1000,1499,1500,1500,1000,1929,2000,0,0,16,0,0,14,92
244554747,244554727,-1,-37.0,0,0,0,1500,1500,1657,1500,1988,1000,1000,1000,1999,1000,1499,1500,1500,1000,1940,2000,0,0,16,0,0,14,94
245054729,245054707,-1,-52.0,0,0,0,1500,1500,1657,1499,1988,1000,1000,1000,1999,1000,1499,1500,1500,1000,1940,1967,0,0,16,0,0,14,94
245554718,245554698,-1,-47.0,0,0,0,1500,1500,1657,1500,1988,1000,1000,1000,1999,1000,1499,1500,1500,1000,1860,2000,0,0,16,0,0,14,86
246054689,246054670,-1,-47.0,0,0,0,1500,1500,1657,1499,1988,1000,1000,1000,1999,1000,1499,1500,1500,1000,1860,2000,0,0,16,0,0,14,86
246554713,246554693,-1,-50.0,0,0,0,1500,1500,1656,1500,1988,1000,1000,1000,1999,1000,1499,1500,1500,1000,1850,2000,0,0,16,0,0,14,85
247054675,247054656,-1,-42.0,0,0,0,1500,1500,1656,1499,1988,1000,1000,1000,1999,1000,1499,1500,1500,1000,1870,2000,0,0,16,0,0,14,87
248054713,248054694,-1,-40.0,0,0,0,1500,1500,1657,1500,1988,1000,1000,1000,1999,1000,1499,1500,1500,1000,1949,2000,0,0,16,0,0,14,95
248553552,248553532,-1,-54.0,0,0,0,1500,1500,1656,1500,1988,1000,1000,1000,1999,1000,1499,1500,1500,1000,1910,2000,0,0,16,0,0,14,91
249559433,249534736,-1,-51.0,0,0,0,1500,1500,1657,1499,1988,1000,1000,1000,1999,1000,1499,1500,1500,1000,1860,1984,0,0,16,0,0,14,86
250064374,250034693,-1,-51.0,0,0,0,1500,1500,1657,1499,1988,1000,1000,1000,1999,1000,1499,1500,1500,1000,1839,2000,0,0,16,0,0,14,83
250565306,250554867,-1,-41.0,0,0,0,1500,1500,1657,1500,1988,1000,1000,1000,1999,1000,1499,1500,1500,1000,1889,2000,0,0,16,0,0,14,88
251054701,251054670,-1,-41.0,0,0,0,1500,1500,1657,1500,1988,1000,1000,1000,1999,1000,1499,1500,1500,1000,1929,2000,0,0,16,0,0,14,93
