timestamp,armed_time,takeoff_time,nav_state_timestamp,valid_nav_states_mask,can_set_nav_states_mask,failure_detector_status,arming_state,latest_arming_reason,latest_disarming_reason,nav_state_user_intention,nav_state,executor_in_charge,hil_state,vehicle_type,failsafe,failsafe_and_user_took_over,failsafe_defer_state,gcs_connection_lost,gcs_connection_lost_counter,high_latency_data_link_lost,is_vtol,is_vtol_tailsitter,in_transition_mode,in_transition_to_fw,system_type,system_id,component_id,safety_button_available,safety_off,power_input_valid,usb_connected,open_drone_id_system_present,open_drone_id_system_healthy,parachute_system_present,parachute_system_healthy,avoidance_system_required,avoidance_system_valid,rc_calibration_in_progress,calibration_enabled,pre_flight_checks_pass
264472417,199999074,204037170,239167880,2147411071,8307839,0,2,1,0,14,14,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
264977907,199999074,204037170,239167880,2147411071,8307839,0,2,1,0,14,14,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
265484104,199999074,204037170,239167880,2147411071,8307839,0,2,1,0,14,14,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
265990111,199999074,204037170,239167880,2147411071,8307839,0,2,1,0,14,14,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
266496166,199999074,204037170,239167880,2147411071,8307839,0,2,1,0,14,14,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
267002509,199999074,204037170,239167880,2147411071,8307839,0,2,1,0,14,14,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
267508907,199999074,204037170,239167880,2147411071,8307839,0,2,1,0,14,14,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
268014908,199999074,204037170,239167880,2147411071,8307839,0,2,1,0,14,14,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
268521077,199999074,204037170,239167880,2147411071,8307839,0,2,1,0,14,14,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
269027248,199999074,204037170,239167880,2147411071,8307839,0,2,1,0,14,14,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
269532903,199999074,204037170,239167880,2147411071,8307839,0,2,1,0,14,14,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
270038906,199999074,204037170,239167880,2147411071,8307839,0,2,1,0,14,14,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
270544906,199999074,204037170,239167880,2147411071,8307839,0,2,1,0,14,14,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
271051166,199999074,204037170,239167880,2147411071,8307839,0,2,1,0,14,14,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
272062906,199999074,204037170,239167880,2147411071,8307839,0,2,1,0,14,14,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
272568906,199999074,204037170,239167880,2147411071,8307839,0,2,1,0,14,14,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
273074907,199999074,204037170,239167880,2147411071,8307839,0,2,1,0,14,14,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
273581067,199999074,204037170,239167880,2147411071,8307839,0,2,1,0,14,14,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
274087177,199999074,204037170,239167880,2147411071,8307839,0,2,1,0,14,14,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
274592904,199999074,204037170,239167880,2147411071,8307839,0,2,1,0,14,14,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
275098924,199999074,204037170,239167880,2147411071,8307839,0,2,1,0,14,14,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
275604941,199999074,204037170,239167880,2147411071,8307839,0,2,1,0,14,14,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
276111297,199999074,204037170,239167880,2147411071,8307839,0,2,1,0,14,14,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
276617096,199999074,204037170,239167880,2147411071,8307839,0,2,1,0,14,14,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
277122908,199999074,204037170,239167880,2147411071,8307839,0,2,1,0,14,14,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
277628906,199999074,204037170,239167880,2147411071,8307839,0,2,1,0,14,14,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
278134944,199999074,204037170,239167880,2147411071,8307839,0,2,1,0,14,14,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
278641090,199999074,204037170,239167880,2147411071,8307839,0,2,1,0,14,14,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
279147236,199999074,204037170,239167880,2147411071,8307839,0,2,1,0,14,14,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
279652911,199999074,204037170,239167880,2147411071,8307839,0,2,1,0,14,14,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
280158908,199999074,204037170,239167880,2147411071,8307839,0,2,1,0,14,14,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
280664946,199999074,204037170,239167880,2147411071,8307839,0,2,1,0,14,14,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
281171196,199999074,204037170,239167880,2147411071,8307839,0,2,1,0,14,14,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
281677143,199999074,204037170,239167880,2147411071,8307839,0,2,1,0,14,14,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
282182907,199999074,204037170,239167880,2147411071,8307839,0,2,1,0,14,14,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
282688909,199999074,204037170,239167880,2147411071,8307839,0,2,1,0,14,14,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
283194907,199999074,204037170,239167880,2147411071,8307839,0,2,1,0,14,14,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
283701066,199999074,204037170,239167880,2147411071,8307839,0,2,1,0,14,14,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
284207209,199999074,204037170,239167880,2147411071,8307839,0,2,1,0,14,14,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
